[ 2.83119773e-05  5.36036462e-05 -2.47345026e-04]
[ 2.83224762e-05  5.36049707e-05 -2.47300441e-04]
[ 2.83322103e-05  5.36061767e-05 -2.47260313e-04]
[ 2.83421718e-05  5.36073816e-05 -2.47219972e-04]
[ 2.83527691e-05  5.36085824e-05 -2.47178908e-04]
[ 2.83633529e-05  5.36097891e-05 -2.47138991e-04]
[ 2.83755167e-05  5.36111101e-05 -2.47093804e-04]
[ 2.83852480e-05  5.36121984e-05 -2.47058343e-04]
[ 2.83962398e-05  5.36134026e-05 -2.47017850e-04]
[ 2.84073780e-05  5.36146068e-05 -2.46977434e-04]
[ 2.84186596e-05  5.36158102e-05 -2.46936832e-04]
[ 2.84299874e-05  5.36170155e-05 -2.46896645e-04]
[ 2.84412229e-05  5.36182209e-05 -2.46856397e-04]
[ 0.00010909 -0.00054176  0.00566641]
[ 0.00012146 -0.0028988   0.02765097]
[-0.00067901 -0.00814069  0.0757911 ]
[-0.00208134 -0.01570107  0.14357851]
[-0.00248365 -0.02570918  0.23901131]
[ 2.63154668e-04 -3.52740125e-02  3.44015087e-01]
[ 0.00473376 -0.04526721  0.4503536 ]
[ 0.01077131 -0.0553965   0.55681576]
[ 0.01821805 -0.06516716  0.66316525]
[ 0.02632027 -0.07454415  0.76811682]
[ 0.0344108 -0.0822891  0.8581666]
[ 0.04565454 -0.09035603  0.96435644]
[ 0.05731115 -0.09567986  1.06166768]
[ 0.06910397 -0.09840655  1.15177954]
[ 0.0865908  -0.09859852  1.27782771]
[ 0.10148259 -0.09617249  1.38399191]
[ 0.1161218  -0.09167638  1.4902579 ]
[ 0.13014246 -0.08474918  1.59616876]
[ 0.14000667 -0.07598256  1.67582363]
[ 0.14545937 -0.0622845   1.73132271]
[ 0.14397758 -0.04800319  1.73757246]
[ 0.14083849 -0.02909068  1.72760581]
[1.36134740e-01 1.28205799e-03 1.69964595e+00]
[0.13182828 0.0294254  1.67328801]
[0.12630295 0.06325914 1.64707322]
[0.12143931 0.09448854 1.62537829]
[0.11851616 0.11782995 1.61153602]
